,name,address,city,state,postal_code,stars,review_count,is_open,attributes,categories,hours
1776,Dillon's,955 Boylston St,Boston,MA,02115,3.0,465,1,"{'RestaurantsGoodForGroups': 'True', 'BYOBCorkage': ""'yes_corkage'"", 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'Alcohol': ""'full_bar'"", 'Corkage': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'NoiseLevel': ""u'loud'"", 'HasTV': 'True'}","['Nightlife', 'American(Traditional)', 'Restaurants', 'Bars']","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '10:0-2:0', 'Sunday': '10:0-2:0'}"
1810,Milkweed,1508 Tremont St,Boston,MA,02120,4.5,654,1,"{'RestaurantsReservations': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTableService': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'Smoking': ""u'no'"", 'Alcohol': ""'full_bar'"", 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'WheelchairAccessible': 'True'}","['American(New)', 'Nightlife', 'Restaurants', 'Breakfast&Brunch', 'CocktailBars', 'Bars']","{'Tuesday': '7:0-17:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}"
1879,New American Cafe,465 Huntington Ave,Boston,MA,02120,2.5,62,1,"{'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'beer_and_wine'"", 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'BikeParking': 'True', 'RestaurantsTableService': 'True', 'HasTV': 'True'}","['Restaurants', 'American(New)']","{'Monday': '10:0-16:0', 'Tuesday': '10:0-16:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-16:0', 'Sunday': '10:0-16:0'}"
2121,Ginger Exchange Symphony,250 Huntington Ave,Boston,MA,02115,3.5,162,1,"{'NoiseLevel': ""u'average'"", 'Alcohol': ""u'full_bar'"", 'WiFi': ""u'no'"", 'BikeParking': 'True', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'Caters': 'True', 'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'HappyHour': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True'}","['AsianFusion', 'Japanese', 'Restaurants', 'SushiBars']","{'Monday': '11:30-23:0', 'Tuesday': '11:30-23:0', 'Wednesday': '11:30-23:0', 'Thursday': '11:30-0:0', 'Friday': '11:30-0:0', 'Saturday': '11:30-0:0', 'Sunday': '12:0-23:0'}"
2677,Symphony 8,8 Westland Ave,Boston,MA,02115,2.5,101,0,"{'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'loud'"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True'}","['Nightlife', 'Restaurants', 'American(New)', 'Bars', 'Irish']","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}"
2695,Cafe Golden Horn,334 Massachusetts Ave,Boston,MA,02115,3.5,15,0,"{'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'BYOBCorkage': ""'no'"", 'Alcohol': ""'none'"", 'RestaurantsAttire': ""'casual'"", 'OutdoorSeating': 'True'}","['Sandwiches', 'Restaurants']","{'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-23:0', 'Saturday': '8:0-21:0', 'Sunday': '8:0-21:0'}"
3095,Dumpling Palace,179 Massachusetts Ave,Boston,MA,02115,3.0,442,1,"{'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'HasTV': 'True', 'WiFi': ""'no'"", 'WheelchairAccessible': 'True', 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'True'}","['Taiwanese', 'Restaurants', 'Chinese']","{'Monday': '11:0-3:0', 'Tuesday': '11:0-3:0', 'Wednesday': '11:0-3:0', 'Thursday': '11:0-3:0', 'Friday': '11:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '11:0-3:0'}"
3130,Tremont House Of Pizza,1590 Tremont St,Boston,MA,02120,3.0,46,1,"{'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'WiFi': ""'no'"", 'HasTV': 'True', 'BikeParking': 'True', 'NoiseLevel': ""'average'""}","['Salad', 'Restaurants', 'Seafood', 'Pizza', 'Italian']","{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-3:0', 'Friday': '10:0-3:0', 'Saturday': '10:0-3:0', 'Sunday': '11:0-22:0'}"
3235,QDOBA Mexican Eats,"393 Huntington Ave, Ste 101",Boston,MA,02115,3.0,138,1,"{'RestaurantsPriceRange2': '1', 'BYOBCorkage': ""'no'"", 'RestaurantsDelivery': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'WiFi': ""'free'"", 'Caters': 'True', 'Alcohol': ""u'beer_and_wine'"", 'HasTV': 'True', 'RestaurantsTakeOut': 'True'}","['Caterers', 'Mexican', 'Restaurants', 'FastFood', 'EventPlanning&Services']","{'Tuesday': '10:30-20:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-20:0', 'Friday': '10:30-20:0', 'Saturday': '10:30-22:0', 'Sunday': '10:30-22:0'}"
3272,Cactus Club,939 Boylston St,Boston,MA,02115,3.0,348,0,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""'full_bar'"", 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'BYOBCorkage': ""'no'"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'WiFi': ""u'no'"", 'NoiseLevel': ""u'average'"", 'HasTV': 'True'}","['Nightlife', 'Restaurants', 'Mexican', 'Bars']","{'Monday': '16:0-22:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-23:0', 'Friday': '11:30-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-22:0'}"
3899,Our House East,52 Gainsborough St,Boston,MA,02115,2.5,82,0,"{'NoiseLevel': ""u'loud'"", 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""u'full_bar'"", 'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True'}","['Bars', 'Pubs', 'American(Traditional)', 'Restaurants', 'Nightlife']","{'Monday': '17:0-2:0', 'Tuesday': '17:0-2:0', 'Wednesday': '17:0-2:0', 'Thursday': '11:30-2:0', 'Friday': '11:30-2:0', 'Saturday': '11:30-2:0', 'Sunday': '11:30-2:0'}"
3978,Cappyâ€™s Pizza & Subs,82 Westland Ave,Boston,MA,02115,2.5,137,1,"{'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'True', 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'WiFi': ""u'no'"", 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True'}","['Restaurants', 'Greek', 'Caterers', 'Mediterranean', 'Seafood', 'Pizza', 'Sandwiches', 'EventPlanning&Services', 'Breakfast&Brunch', 'Italian']","{'Monday': '6:30-2:0', 'Tuesday': '6:30-2:0', 'Wednesday': '6:30-2:0', 'Thursday': '6:30-2:0', 'Friday': '6:30-2:0', 'Saturday': '6:30-2:0', 'Sunday': '6:30-2:0'}"
4008,Select Oyster Bar,50 Gloucester St,Boston,MA,02115,4.0,367,1,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '3', 'Smoking': ""u'no'"", 'WiFi': ""u'no'"", 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True', 'Alcohol': ""u'full_bar'"", 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True'}","['Seafood', 'WineBars', 'Nightlife', 'American(New)', 'Bars', 'Restaurants']","{'Tuesday': '16:0-20:0', 'Wednesday': '16:0-20:0', 'Thursday': '16:0-20:0', 'Friday': '16:0-20:0', 'Saturday': '16:0-20:0'}"
4173,Grand Tour,314 Newbury St,Boston,MA,02115,4.0,25,1,"{'RestaurantsTakeOut': 'True', 'WiFi': ""u'no'"", 'Alcohol': ""u'beer_and_wine'"", 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True'}","['American(New)', 'Restaurants', 'Italian', 'French']","{'Monday': '11:30-21:30', 'Tuesday': '11:30-21:30', 'Wednesday': '11:30-21:30', 'Thursday': '11:30-21:30', 'Friday': '11:30-22:30', 'Saturday': '11:30-22:30', 'Sunday': '11:30-21:0'}"
4390,Mumbai Spice,251 Massachusetts Ave,Boston,MA,02115,3.0,185,1,"{'RestaurantsReservations': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTableService': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'GoodForKids': 'True', 'WheelchairAccessible': 'True', 'WiFi': ""'no'"", 'Caters': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'True'}","['Indian', 'Chinese', 'Food', 'Vegetarian', 'Restaurants', 'Seafood', 'Halal']","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:30', 'Saturday': '12:0-22:30', 'Sunday': '12:0-22:0'}"
4457,Montecristo Mexican Grill,748 Huntington Ave,Boston,MA,02115,2.5,309,1,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'True', 'HasTV': 'True', 'Caters': 'True', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'free'"", 'Alcohol': ""u'beer_and_wine'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True'}","['Mexican', 'Restaurants']","{'Monday': '8:0-0:0', 'Tuesday': '8:0-0:0', 'Wednesday': '8:0-0:0', 'Thursday': '8:0-0:0', 'Friday': '8:0-0:0', 'Saturday': '8:0-0:0', 'Sunday': '8:0-23:30'}"
4501,Rice Bowl,6 Hemenway St,Boston,MA,02115,3.0,128,0,"{'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'WiFi': ""u'no'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True'}","['Restaurants', 'Japanese', 'Chinese']","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-0:0'}"
4543,Good Eats Pizza & Subs,1002 Tremont St,Roxbury Crossing,MA,02120,4.0,96,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'WiFi': ""u'no'"", 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'HasTV': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'Caters': 'True'}","['Restaurants', 'Pizza']","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '12:0-21:0'}"
4694,The Wine Cellar,30 Massachusetts Ave,Boston,MA,02115,3.0,201,0,"{'Alcohol': ""'beer_and_wine'"", 'BYOBCorkage': ""'yes_corkage'"", 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '3', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'True', 'Corkage': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'""}","['Gluten-Free', 'ComfortFood', 'Restaurants', 'French', 'Fondue']","{'Tuesday': '17:30-21:30', 'Wednesday': '17:30-21:30', 'Thursday': '17:30-21:30', 'Friday': '17:30-22:30', 'Saturday': '17:30-22:30', 'Sunday': '17:30-21:30'}"
5346,Pressed Juicery,288 Newbury St,Boston,MA,02115,3.5,68,1,"{'NoiseLevel': ""u'quiet'"", 'WiFi': ""'no'"", 'OutdoorSeating': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True'}","['IceCream&FrozenYogurt', 'Food', 'Restaurants', 'HealthMarkets', 'Vegan', 'SpecialtyFood', 'JuiceBars&Smoothies', 'ConvenienceStores']","{'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '8:0-20:0', 'Friday': '9:0-21:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}"
5963,AK's Takeout & Delivery,1427 Tremont St,Roxbury Crossing,MA,02120,3.0,87,1,"{'NoiseLevel': ""'average'"", 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'BYOBCorkage': ""'no'"", 'Caters': 'True', 'WiFi': ""'no'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'HasTV': 'True', 'WheelchairAccessible': 'True'}","['American(Traditional)', 'Food', 'FoodDeliveryServices', 'Pizza', 'Restaurants', 'Italian']","{'Monday': '11:0-23:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}"
6187,O'Naturals,75 Francis St,Boston,MA,02115,3.0,26,0,"{'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'WiFi': ""'free'"", 'RestaurantsPriceRange2': '2'}","['Sandwiches', 'Restaurants']","{'Monday': '6:30-19:0', 'Tuesday': '6:30-19:0', 'Wednesday': '6:30-19:0', 'Thursday': '6:30-19:0', 'Friday': '6:30-19:0', 'Saturday': '11:0-14:30', 'Sunday': '11:0-14:30'}"
6223,Pho Basil,"177 Massachusetts Ave, Ste A",Boston,MA,02115,4.0,1230,1,"{'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'beer_and_wine'"", 'WiFi': ""u'no'"", 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","['Thai', 'Seafood', 'Vietnamese', 'Restaurants']","{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:30', 'Saturday': '11:30-22:30', 'Sunday': '11:30-22:0'}"
6427,Chilacates Mexican Street Food,1482A Tremont St,Boston,MA,02120,4.5,36,1,"{'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True'}","['Restaurants', 'Mexican']","{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-23:0', 'Saturday': '9:0-23:0', 'Sunday': '9:0-22:0'}"
6682,Domino's Pizza,"1400 Tremont St, Roxbury Crossing Station - Space D",Roxbury Crossing,MA,02120,1.5,120,1,"{'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'WiFi': ""u'no'"", 'BikeParking': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsPriceRange2': '1'}","['Restaurants', 'Sandwiches', 'Pizza', 'ChickenWings']","{'Monday': '10:0-3:0', 'Tuesday': '10:0-3:0', 'Wednesday': '10:0-3:0', 'Thursday': '10:0-3:0', 'Friday': '10:0-4:0', 'Saturday': '10:0-4:0', 'Sunday': '10:0-3:0'}"
6877,Temptations Cafe,313 Huntington Ave,Boston,MA,02115,4.0,119,0,"{'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'BYOBCorkage': ""'no'"", 'RestaurantsGoodForGroups': 'True'}","['Sandwiches', 'Food', 'Coffee&Tea', 'Restaurants', 'Breakfast&Brunch']","{'Monday': '7:30-21:0', 'Tuesday': '7:30-21:0', 'Wednesday': '7:30-21:0', 'Thursday': '7:30-21:0', 'Friday': '7:30-21:0', 'Saturday': '10:0-19:0', 'Sunday': '10:0-19:0'}"
